Enrollment_No,Student_Name,Surname,Gender,Department,Class,Semester,SGPA_Sem1,SGPA_Sem2,SGPA_Sem3,SGPA_Sem4,SGPA_Sem5,SGPA_Sem6,SGPA_Sem7,CGPA,HackerRank_Score,LeetCode_Problems_Solved,GitHub_Repositories,Projects_Completed,Internship_Completed,Primary_Skill,Secondary_Skill,Preferred_Domain,Preferred_Location,Expected_Salary_LPA,Communication_Skill_Rating
105,Student104,Surname104,Female,IT,4EK3,8,7.949724792998055,8.028939234753569,6.012873054417115,6.093408385312744,8.85048533239405,8.494972339456037,7.600849103398688,9.8268817355574,51,120,17,6,Yes,AI,UI UX,Software Dev,Bangalore,8.896887161192021,1
106,Student105,Surname105,Female,IT,4EK3,8,9.578208907576366,6.166291436201568,8.478357349839364,9.024854455800707,9.267117866022545,9.04921049800384,9.133191931824191,8.397438900168662,85,105,9,7,Yes,AI,UI UX,Software Dev,Pune,11.66372354158237,5
107,Student106,Surname106,Female,IT,4EK3,8,9.199421023789261,6.5933728038483554,7.42197204176543,7.834092035527563,6.726455871026411,6.155752066750662,7.063713802528476,8.91462513694641,99,154,2,3,Yes,AI,ML,Web Dev,Bangalore,14.252899859217866,3
108,Student107,Surname107,Female,AI,4EK2,8,7.700854017876933,9.946520491835388,9.176789325108338,7.156979087890618,7.483764032631061,9.34847851132261,9.961329215174594,7.26145497306447,56,249,13,6,No,Python,Database,Data Science,Hyderabad,4.0950199094285775,3
109,Student108,Surname108,Female,AI,4EK2,8,6.08987723328047,9.860474785744183,6.371962559292529,9.600332732065922,9.6077607869966,8.478104800145214,6.103078395057405,7.572588517976061,62,150,2,3,No,Java,Cloud,Web Dev,Hyderabad,3.2340317713262428,3
110,Student109,Surname109,Male,AI,4EK2,8,7.074709437539784,6.019759923737638,8.352809067793562,6.464555840802102,9.226774078778957,8.25358140285056,8.414115226004483,6.947695975586894,64,100,11,7,No,Data Science,ML,Web Dev,Remote,12.668457509774441,3
111,Student110,Surname110,Female,ICT,4EK2,8,8.166536858643468,9.807247141692956,7.923891559544495,9.823675315821276,9.939433611049903,8.498456192458127,8.638023926605308,6.387862683861699,74,123,15,7,Yes,Python,Cloud,AI,Pune,4.298032650609112,2
112,Student111,Surname111,Male,CSE,4EK2,8,8.533912879304589,8.556479751262001,8.56930210362091,7.255866869509411,9.016993038728323,9.457732987473456,8.752182228296515,6.716126549766335,72,220,11,8,Yes,Data Science,ML,Cybersecurity,Pune,14.840361552965085,3
113,Student112,Surname112,Female,AI,4EK2,8,7.03155074173281,9.471673178080088,6.259414377931874,9.553614689234724,7.572780804111689,8.347746026235628,6.4815503151563565,9.190056181185943,71,170,3,2,No,Python,Cloud,Software Dev,Bangalore,10.432178987506047,3
114,Student113,Surname113,Female,CSE,4EK2,8,6.5574242962912965,7.818959422535436,8.319935149712524,8.411771505917846,8.362551335978551,8.323801519552717,9.754119133892521,8.710183220735104,75,192,3,9,No,AI,ML,Data Science,Hyderabad,10.810396743049688,2
115,Student114,Surname114,Male,CSE,4EK3,8,9.339720947197197,8.062384114317002,8.245938351838095,9.30682943896595,8.644057016989281,9.962716628263063,6.724733116200332,8.187715503941908,82,215,12,5,Yes,Data Science,UI UX,Cybersecurity,Bangalore,5.386700435256209,3
116,Student115,Surname115,Female,IT,4EK3,8,9.937608722814208,7.955386321027681,8.242640377664683,9.936052652841857,6.313823265268496,9.026920668274272,8.491013612959364,7.900359491467072,60,192,5,9,No,AI,DevOps,Cybersecurity,Hyderabad,5.883747723560093,5
117,Student116,Surname116,Male,ICT,4EK3,8,8.102760729210743,8.667457030184417,8.41395066638582,7.153621751274983,8.177987836415461,7.769175221804542,6.890704316492339,9.689737134624497,59,54,7,5,No,Data Science,UI UX,Data Science,Bangalore,10.912203637191002,5
118,Student117,Surname117,Female,AI,4EK3,8,6.6867171433932135,6.558605019025252,8.705871748905448,9.844541941630371,8.837283313890438,8.82958800013171,7.228865668085083,6.290939791114674,74,270,7,7,No,Web Dev,Cloud,Cybersecurity,Hyderabad,13.916722055210364,4
119,Student118,Surname118,Female,IT,4EK2,8,7.089229306077476,6.119894359490711,9.21995599872308,7.557927579609681,6.6692852160042415,7.556921886767154,8.185834166912498,7.122403252951663,86,132,13,9,No,Python,Database,AI,Bangalore,14.7886866542108,5
120,Student119,Surname119,Male,IT,4EK1,8,6.0735627061898665,7.231719766364764,7.079282880512857,7.54204761894769,9.122526869702229,6.915501849933996,7.668773674258306,7.399751414282856,97,231,9,4,No,Web Dev,UI UX,Cybersecurity,Hyderabad,5.376371359573124,1
121,Student120,Surname120,Female,AI,4EK2,8,9.657195226241996,8.818723050946588,9.30019764072025,7.361548417018023,8.335091122056447,8.387407507551037,6.640902403906026,9.12970324885115,92,100,13,2,Yes,Python,DevOps,AI,Bangalore,4.609435472517482,1
122,Student121,Surname121,Male,CSE,4EK1,8,6.4710043315605645,6.807413808491793,7.9930227290538145,8.16563042939034,9.808887142790379,9.712728392455805,6.683745609683394,9.970058480647886,87,59,12,9,No,Java,Cloud,Software Dev,Pune,3.6768162931294857,1
123,Student122,Surname122,Female,IT,4EK3,8,8.306065902057014,8.69372973329967,6.308233116537325,6.616580172713949,6.169689192827567,9.716558080061851,7.672579152651199,6.962682059028612,90,189,13,2,No,Data Science,UI UX,Software Dev,Remote,13.419564217935935,2
124,Student123,Surname123,Male,CSE,4EK2,8,7.096220882748824,9.879648184429081,6.234203716975917,8.214845941432046,7.061304550221868,7.367621112421961,9.029131913102002,9.497229336548322,94,295,10,3,Yes,Java,ML,Web Dev,Bangalore,6.536578162277625,5
125,Student124,Surname124,Male,ICT,4EK3,8,8.216712010063173,6.375602863157674,7.336953274784243,8.166819249640016,8.406215517199296,8.110709864886779,9.591858587391155,9.322491041727165,73,53,1,2,Yes,Java,Database,AI,Remote,3.02174440643102,1
126,Student125,Surname125,Female,CSE,4EK2,8,8.605681553407457,8.690408472900504,9.13958790844587,9.04760725041948,7.186239648823722,6.846543594279445,6.336510649037532,6.898629590567067,89,144,8,3,Yes,Python,Cloud,Software Dev,Pune,5.685817032677146,4
127,Student126,Surname126,Female,ICT,4EK3,8,9.318967214828806,7.775000877218284,8.830723738963663,9.334599847750342,8.857696656284968,9.982524437995533,7.572415630237604,7.597330320796891,95,195,16,6,Yes,Web Dev,UI UX,Cybersecurity,Pune,7.085292961193021,2
128,Student127,Surname127,Male,CSE,4EK1,8,6.825685087042412,9.472569017510022,9.154459858689625,7.761765401249696,9.036021130087724,9.924471631471743,6.400982254891506,7.6386914771700765,82,129,13,3,No,AI,Cloud,Data Science,Hyderabad,14.891834033960222,4
129,Student128,Surname128,Female,IT,4EK1,8,6.0439833146339215,6.708599157789544,8.069076225766437,7.2093329974059746,6.410063856265898,8.59803571882979,6.0663699225303915,9.912882674106234,66,281,3,8,No,Python,ML,Data Science,Remote,9.28249912628498,5
130,Student129,Surname129,Female,IT,4EK1,8,6.547542520275229,8.770503808904659,7.760795991821962,7.037339589268377,8.05541785682707,9.217656238709893,8.646874730575826,6.723567605515593,73,85,3,6,No,AI,DevOps,AI,Ahmedabad,5.456567371141215,3
131,Student130,Surname130,Female,ICT,4EK2,8,9.60007456739242,9.35246115859244,6.589810106825135,6.778495346819488,8.035562222364224,8.8604006451348,8.409797767866351,9.196631884419128,86,74,5,7,No,Java,UI UX,Web Dev,Hyderabad,7.017820136561413,4
132,Student131,Surname131,Male,AI,4EK1,8,9.495560310250061,9.778456877896094,7.312771014437246,6.230590328796099,7.477123080862164,8.372632876157873,6.652076455259545,7.336770856692439,51,264,11,1,Yes,AI,Cloud,Cybersecurity,Remote,6.963692250682541,3
133,Student132,Surname132,Male,ICT,4EK2,8,8.389652408681233,8.732992113158584,7.7360774646955015,7.369791915338853,9.731699450278688,6.213391987955591,6.935251332372257,8.923481383104642,81,253,7,3,Yes,Web Dev,Cloud,AI,Bangalore,3.236708957558106,2
134,Student133,Surname133,Male,ICT,4EK1,8,8.402067441734614,7.98869905603371,6.354401718718469,7.080990768523133,9.310025279492885,7.819057370210644,6.094831014578073,7.680044017182651,73,147,10,3,No,Python,Cloud,Data Science,Bangalore,4.622196650057161,4
135,Student134,Surname134,Male,CSE,4EK1,8,8.660146698185022,8.471388960804855,6.882447810844845,9.865669543465629,8.788837527638547,8.699145208669641,9.339788822777615,8.31343905246616,58,213,10,2,No,Web Dev,DevOps,AI,Pune,11.342357516438534,4
136,Student135,Surname135,Male,CSE,4EK2,8,6.701485114493798,9.475619937914873,8.392901176254956,8.230835305000175,8.857306542939991,8.710126455534738,9.898762384194207,9.330447093304524,53,150,2,7,No,Web Dev,Cloud,Cybersecurity,Ahmedabad,4.443011838848816,2
137,Student136,Surname136,Male,ICT,4EK2,8,9.65764778369984,8.282438986555318,8.94265245695676,7.38910815612203,7.846864575252477,7.492490473689534,6.541838147178764,9.216662259935536,66,244,3,9,No,Python,Database,Software Dev,Bangalore,5.768811319273425,2
138,Student137,Surname137,Male,IT,4EK1,8,7.675082099568293,6.121548238787348,9.993390045571799,8.321870403974785,9.683978084386304,9.766767946632122,6.925900855061192,9.4656927341588,66,58,8,4,Yes,Web Dev,Database,Cybersecurity,Remote,7.208847580851705,1
139,Student138,Surname138,Male,CSE,4EK2,8,7.53255411299799,9.72379478202791,9.73245332537423,6.556786805382782,8.778381709013141,6.669428128947124,9.473638095787736,6.238469301378636,99,110,11,5,No,Data Science,Cloud,Software Dev,Remote,12.092819334027524,5
140,Student139,Surname139,Male,AI,4EK1,8,8.07567082113135,8.758107004126245,8.570260798140765,7.776174996808812,8.915924246623266,8.001437784862242,9.705855191824739,8.768202212158979,97,102,13,3,Yes,Data Science,Database,Software Dev,Bangalore,9.988811578415277,4
141,Student140,Surname140,Female,CSE,4EK2,8,6.18786386710022,8.706053543108986,7.6849922131762884,8.504937285684255,9.446763615149381,8.763535906203291,7.678509531227242,6.559949506887051,79,195,7,9,Yes,Data Science,UI UX,Software Dev,Remote,11.267999819862819,4
142,Student141,Surname141,Male,CSE,4EK3,8,6.665133475024318,6.862700609590869,8.54470945883293,7.955591327169806,7.096286357368764,8.788543223567236,6.202489889076297,7.663274272073644,89,220,13,4,Yes,AI,Database,AI,Remote,9.804147905042067,2
143,Student142,Surname142,Female,AI,4EK3,8,8.952134465705482,8.635541880930628,9.142606472320928,7.6071152026172975,9.228283615466811,8.594555827075261,6.157567334771278,8.194353660218754,60,212,2,5,Yes,Web Dev,Cloud,Data Science,Pune,11.203109102662427,2
144,Student143,Surname143,Female,ICT,4EK3,8,6.331194671700506,7.575457622616634,6.473344763693549,9.975393555598792,6.780962411825968,7.101152853807441,8.295799464276042,7.6109579389873225,70,112,6,1,No,Python,ML,AI,Ahmedabad,3.0341058439676694,5
145,Student144,Surname144,Female,AI,4EK3,8,8.412608437865552,8.604931908165968,7.639619558785153,9.521259048595708,7.381367808979551,6.624826274746487,7.5715804355727165,8.07844670321203,70,170,9,2,No,Python,UI UX,Data Science,Pune,14.170777732457154,2
146,Student145,Surname145,Male,ICT,4EK3,8,6.981396438725284,6.426372121231963,9.359209142542468,8.49362383263776,7.34244181707937,8.543761307306843,6.114609710310618,9.986105235194476,67,296,2,9,No,AI,DevOps,Cybersecurity,Ahmedabad,4.331042770497678,3
147,Student146,Surname146,Male,ICT,4EK1,8,7.557182456167906,8.631381218412145,7.535331807732176,8.27750944472913,9.914101873556563,8.397208464557751,8.333009569250226,6.540869254851419,78,275,18,2,No,Python,Cloud,Web Dev,Remote,7.874989151722858,3
148,Student147,Surname147,Male,ICT,4EK3,8,7.1547749470827995,9.997654903082665,8.287489084908746,8.482641919298336,9.426148894991707,6.7174240411569635,6.04521014635609,8.701824181345703,73,154,16,5,Yes,Data Science,DevOps,Cybersecurity,Ahmedabad,12.252460442938258,3
149,Student148,Surname148,Male,AI,4EK3,8,7.4226908658597965,6.192848155442224,8.351077443448792,6.8052484312897334,8.804679446361039,8.820556582282254,9.149487832597092,7.584003865542461,59,255,12,8,Yes,Web Dev,ML,AI,Remote,8.222768616113086,3
150,Student149,Surname149,Female,ICT,4EK3,8,8.876183620736981,9.908696736885268,6.737905012534558,7.580550973057274,8.90822704646156,7.820687966934626,7.225731290813487,6.532039195629315,94,53,7,3,Yes,Python,DevOps,AI,Remote,14.36211062001019,5
151,Student150,Surname150,Male,IT,4EK3,8,7.1884868624927005,7.627631842891482,7.4489417666091535,6.157838131563597,8.248291177610284,8.671042366412612,6.161032012036928,6.634947053497238,66,142,7,6,No,Python,Cloud,Data Science,Pune,8.611067381985201,4
152,Student151,Surname151,Male,AI,4EK2,8,8.265618561187589,9.483013801349037,7.338045154967729,7.902184149947306,9.788362668434075,9.349468319080604,8.353408883932612,9.797092424982468,67,218,17,4,Yes,Java,Cloud,AI,Pune,13.499272867232056,3
153,Student152,Surname152,Male,IT,4EK1,8,7.904201608796399,9.129541936233094,6.104786834128259,8.172098335830652,7.985035011529446,6.678913714307693,7.590737657732219,9.518405986847048,91,222,13,7,Yes,Java,ML,Software Dev,Hyderabad,12.72993736034725,2
154,Student153,Surname153,Male,ICT,4EK3,8,8.654684661450592,8.26806504394667,6.0967670555654205,6.910998944412839,7.5220708394795786,6.076579471987347,9.895201653428598,9.628167841660087,97,227,11,3,Yes,Java,Cloud,AI,Bangalore,14.771835633584198,3
155,Student154,Surname154,Male,CSE,4EK3,8,9.747318957299033,8.953796837005306,9.326788174703093,9.856115388662054,6.652141347726364,9.116410345583148,8.17679465001481,9.966131103309547,69,256,6,6,Yes,Web Dev,ML,Data Science,Hyderabad,14.118573369011706,5
156,Student155,Surname155,Female,ICT,4EK3,8,8.930288388841001,9.514062245205391,7.09228323989125,9.637818443748968,9.144822609044231,8.438789700610464,7.100956724148033,6.833261560034072,86,77,14,9,No,Data Science,ML,Data Science,Hyderabad,13.777486016554544,2
157,Student156,Surname156,Male,IT,4EK1,8,6.8597615143630275,7.6165612866041315,8.072315064955262,8.888572941823623,8.937775728302366,8.798558278488487,8.837755458535899,7.4217573494562465,94,219,6,1,Yes,Data Science,Cloud,Software Dev,Ahmedabad,11.779252086233619,3
158,Student157,Surname157,Female,IT,4EK2,8,6.124732540245139,7.308132646252955,7.194902294355092,8.13354651506145,7.537420154096539,9.35261989995457,7.085968010170845,8.676876119699466,67,129,6,3,Yes,Data Science,Database,Data Science,Remote,7.403977767218649,4
159,Student158,Surname158,Male,AI,4EK1,8,7.049056177199301,8.670373542254339,9.762716980461363,9.47987663859074,6.100773655836917,9.211243739298002,9.61697316563026,7.935210159442589,66,125,2,2,No,Web Dev,ML,Web Dev,Remote,4.27350502277883,2
160,Student159,Surname159,Female,CSE,4EK2,8,8.38031172280102,9.231383767765035,7.037187035463095,6.522609375293852,9.355989310872044,9.843680587715298,7.498887882029505,7.673558133513334,58,165,15,8,No,Web Dev,Cloud,Cybersecurity,Remote,11.26374062717268,2
161,Student160,Surname160,Male,AI,4EK3,8,6.205703253937001,9.049140539106464,7.71862725095574,9.16203917709954,6.045671933816294,8.143740315408472,8.19947425110482,7.431244997342372,63,118,17,7,No,Java,Database,AI,Bangalore,14.74384897605558,4
162,Student161,Surname161,Male,IT,4EK3,8,7.985464988804946,9.191254595434538,9.490921001938407,6.499283255867393,8.814799118516204,7.953982530639621,6.202292415296915,8.375122527773808,98,147,8,2,Yes,Python,ML,Web Dev,Ahmedabad,11.719253247982428,2
163,Student162,Surname162,Female,ICT,4EK1,8,8.387371395667557,7.7423332592517315,9.367734267167235,9.17684265019762,9.881028438904227,7.60754879956292,7.704484951808923,8.302373714560328,78,283,5,6,Yes,AI,Database,AI,Ahmedabad,14.144752431328026,3
164,Student163,Surname163,Female,CSE,4EK1,8,7.336975563267844,9.271336864700086,6.74440567138511,7.103070273005428,7.750645312592814,6.614764171376818,9.32945415864398,6.64583133625696,80,50,17,3,Yes,AI,UI UX,Web Dev,Remote,12.6516565554662,2
165,Student164,Surname164,Female,ICT,4EK2,8,9.083648814983288,6.480836221482434,9.210573239182843,9.508362324072756,6.9398936199838115,8.29042893152809,9.222595221453368,7.886959350073756,53,216,1,8,Yes,Python,UI UX,AI,Hyderabad,4.957376101400145,3
166,Student165,Surname165,Male,ICT,4EK2,8,6.426393012535087,8.177956391843399,7.832747546951571,9.77616837530159,8.819484040173528,7.108050097303915,6.8972742354141054,8.213887104839399,67,145,18,3,No,Java,Database,Software Dev,Bangalore,5.9904452470954475,4
167,Student166,Surname166,Female,CSE,4EK1,8,6.300551126943235,6.023034641992487,7.93187548834142,6.595183877620462,9.268512568062341,9.685230048851903,6.904316284042251,8.281147754925563,69,267,15,9,Yes,Python,ML,Data Science,Hyderabad,7.102387221148204,1
168,Student167,Surname167,Male,AI,4EK2,8,8.912755024814413,7.298343319601081,6.533919889663775,7.850702420261574,8.18572126431139,8.33276321710839,9.269221248852947,6.840428771649407,96,66,5,1,Yes,Python,Cloud,Data Science,Pune,5.019125332056049,4
169,Student168,Surname168,Male,ICT,4EK1,8,7.981965264824794,7.465846139485592,6.322406055028498,9.92394951265074,9.868141101024584,8.37136072203244,9.721593680677302,8.969085569009147,92,161,7,5,No,AI,DevOps,Software Dev,Ahmedabad,9.97981599207608,3
170,Student169,Surname169,Female,IT,4EK2,8,8.753609585710944,7.584690766437022,8.91175722789506,7.9336297438925865,6.206674886631845,7.41969864350804,6.381443685092014,6.1007963792842785,93,140,18,3,No,Java,Cloud,Web Dev,Ahmedabad,14.705406289619415,5
171,Student170,Surname170,Female,ICT,4EK1,8,7.739309354414985,8.78186882675945,7.985844609421199,9.45419009005818,8.019182393218113,6.20795740791083,7.800234557704901,7.419327422172651,58,137,6,6,No,Web Dev,DevOps,Cybersecurity,Hyderabad,12.137506001233904,4
172,Student171,Surname171,Male,CSE,4EK1,8,6.985608132956427,7.5542324050813825,7.747402810460718,8.354926088525279,8.8738157892902,6.1269750614919545,7.349817115856916,9.120850594142535,62,212,5,2,Yes,AI,DevOps,Web Dev,Bangalore,8.080640988809542,5
173,Student172,Surname172,Male,CSE,4EK1,8,9.2764092706968,7.794774490490123,8.918032914609586,7.501319631678408,9.450561884596716,7.6933405766127905,9.482753821829757,8.255571684221609,64,223,19,9,Yes,Web Dev,ML,Data Science,Ahmedabad,3.054053771763464,5
174,Student173,Surname173,Female,CSE,4EK2,8,9.197663515875917,6.95017652349731,9.062051595964439,7.14313422210348,6.717022447631161,6.338261512388952,6.334099658720075,7.0446497300434405,76,219,10,6,Yes,Java,Database,Cybersecurity,Hyderabad,6.7593121336581445,3
175,Student174,Surname174,Female,AI,4EK2,8,8.778785883417708,7.49300716651736,6.635632670677414,6.812892364344349,9.200013927054727,8.427387822160556,6.84450377023215,8.779812477372191,64,295,15,7,Yes,Python,Cloud,AI,Bangalore,9.321111452306583,3
176,Student175,Surname175,Female,ICT,4EK2,8,7.08858054891985,6.9090785090526055,8.440900597910565,9.04719276551079,8.21082830287418,9.52389202255863,9.009873350345977,8.269563776624294,77,216,10,5,Yes,Data Science,Database,Cybersecurity,Hyderabad,6.891010486223648,1
177,Student176,Surname176,Male,AI,4EK1,8,8.360922667476348,6.2927836950737746,6.541416329110742,7.5461620272921115,7.586214727959852,9.53165926607489,6.205175395924862,9.184974437825549,86,139,16,9,No,Data Science,UI UX,Web Dev,Bangalore,4.332419076286314,2
178,Student177,Surname177,Male,AI,4EK2,8,7.443895587760107,8.413794373525512,9.005500344116182,8.045101848803004,6.526860114316374,8.63618164052893,7.970141522857157,8.940100744759294,68,98,12,1,No,Java,ML,Software Dev,Remote,8.313179482342735,4
179,Student178,Surname178,Male,CSE,4EK2,8,6.366328293306537,8.672851194220065,8.627820625068559,7.969301920004728,9.46118303563565,6.8449273258917245,7.76842813871888,8.440431688144939,75,239,18,5,Yes,Data Science,ML,AI,Bangalore,6.039033803588595,3
180,Student179,Surname179,Male,CSE,4EK1,8,9.669254301848971,8.477961384038458,9.826458484333832,8.309116116932525,6.629092832718861,9.45198732543549,7.337604715954995,7.952710701243256,75,87,1,6,Yes,Web Dev,UI UX,Web Dev,Pune,13.910788517538018,4
181,Student180,Surname180,Male,AI,4EK3,8,6.547274523675846,7.853976175202289,6.275832065425685,9.46230858249821,7.239151436836397,9.544373741252834,7.578289261275695,6.532728502670094,74,200,16,7,Yes,Data Science,Cloud,AI,Remote,4.221054342012189,5
182,Student181,Surname181,Male,ICT,4EK1,8,9.80094941528321,7.519143120716919,6.228218884605017,9.922957374333718,7.1601821278497475,6.786614339811835,8.119762347720933,7.0453320715415355,75,199,6,4,Yes,Java,UI UX,Cybersecurity,Hyderabad,3.5898315446965245,2
183,Student182,Surname182,Female,IT,4EK2,8,7.784023091831823,9.4533345982873,7.1287482987728,7.630336834295267,9.485656136763417,8.94970434308271,6.645469433553533,7.676397891668341,75,181,3,1,Yes,Java,Cloud,Data Science,Remote,3.0637700298583446,1
184,Student183,Surname183,Male,AI,4EK1,8,6.740531715354479,8.076327140544873,7.046822734943624,9.310075688425211,8.690811976835592,7.146078195708492,8.287983513134371,8.397197148025555,95,226,2,8,No,Web Dev,DevOps,Web Dev,Remote,6.936836213827894,4
185,Student184,Surname184,Male,ICT,4EK3,8,8.167603789513432,7.916727510518924,6.987915196287999,9.058111178618871,9.186725588765489,9.210561249411718,9.221729317199944,8.05483142086122,77,108,2,4,No,Data Science,ML,Software Dev,Hyderabad,10.924642058410663,2
186,Student185,Surname185,Male,CSE,4EK1,8,9.491783343505633,6.102568263225743,9.625018322084147,8.294115805822294,7.001871595169996,9.98895159961441,9.040643719160636,7.152738103838118,98,250,13,3,No,Data Science,Cloud,Cybersecurity,Hyderabad,11.764965034581511,1
187,Student186,Surname186,Female,CSE,4EK2,8,8.928899545638245,7.364991310504625,6.998184799398024,9.824188574447732,8.499496398427995,6.120104021317571,6.615599618775095,6.025857431158842,67,117,9,7,Yes,Python,Database,Web Dev,Pune,8.439140200580677,4
188,Student187,Surname187,Male,ICT,4EK3,8,9.226244591445798,7.520782475143428,7.087798904514524,6.801898062113612,8.286983932574994,9.589463463163728,6.596997878965896,7.984956887603255,81,248,16,2,Yes,AI,Database,Software Dev,Hyderabad,11.2119438054632,2
189,Student188,Surname188,Male,IT,4EK2,8,8.63513346684287,7.595291123587602,9.037593049671855,6.437056841238485,9.331321507153085,8.490522134394633,7.072697470979653,7.142503954248973,52,264,5,8,No,Java,ML,Web Dev,Ahmedabad,7.318968434584361,3
190,Student189,Surname189,Female,CSE,4EK3,8,8.76910625807141,8.32068947690933,7.79895936980216,9.41584786782169,9.624348241925041,9.893530476659285,7.444298905364149,8.938433202842141,51,179,7,6,No,Python,UI UX,Cybersecurity,Ahmedabad,11.013674639839403,4
191,Student190,Surname190,Male,CSE,4EK3,8,9.396782606261278,8.134410186907514,9.106842227820724,7.756599266534993,6.048627085909548,7.860038070105711,7.633822325633931,6.0957850610819335,82,98,13,7,Yes,Java,UI UX,Web Dev,Pune,3.487151823628481,2
192,Student191,Surname191,Male,CSE,4EK1,8,6.998672035436744,8.431620371173778,6.2614646302575405,9.387875416828242,8.69607967623517,9.389551722285495,8.71878886733338,8.339311245223163,91,265,13,5,No,Python,Cloud,AI,Bangalore,7.68903581480405,1
193,Student192,Surname192,Male,ICT,4EK1,8,7.957699854572562,9.059533046168513,7.950284774693538,9.57236082078166,6.2073431964789165,6.2495762743931085,6.226721728663342,9.765896950024262,68,281,7,9,No,AI,UI UX,Cybersecurity,Bangalore,12.49019613159815,2
194,Student193,Surname193,Male,AI,4EK2,8,6.884837767278409,9.251942954864374,6.13445440073313,6.249830374476286,8.195434660309424,7.3411162003131825,6.1386908169042655,6.697637068445998,66,296,10,5,Yes,Python,ML,Web Dev,Ahmedabad,12.636072365508015,3
195,Student194,Surname194,Male,CSE,4EK1,8,9.950672031986588,8.872492304905977,6.250612813821418,9.533859051944242,7.150530916174713,6.26806615100484,7.567642251775636,7.886597963002382,93,175,15,5,No,Java,Cloud,Data Science,Hyderabad,11.593785346508335,4
196,Student195,Surname195,Female,AI,4EK1,8,9.776237358746453,9.82209478381974,9.625749813377643,7.793276221477688,7.227106398088565,9.901372533916282,8.788654768551922,6.365687967268553,82,272,6,3,No,Data Science,DevOps,Web Dev,Pune,5.4508634468383725,4
197,Student196,Surname196,Female,IT,4EK3,8,6.157707245474024,6.0729303307054465,6.556981484470381,8.04172995601693,7.411834013809426,9.267895629087347,6.77374137182593,8.502727649045411,61,288,5,1,No,Java,UI UX,AI,Bangalore,5.966461427167599,4
198,Student197,Surname197,Female,CSE,4EK1,8,8.822300690062754,6.783111942734184,8.129682729100868,8.50637004437284,8.485169796198441,9.410189684983882,8.566017925025006,8.202126722384902,98,208,2,2,Yes,Web Dev,UI UX,Software Dev,Bangalore,14.953064727174148,3
199,Student198,Surname198,Male,CSE,4EK3,8,9.700993269662664,6.030251499912568,7.644382410402827,9.705530426920348,7.336199862675077,9.751860925735578,7.039312551761197,7.629462096851329,52,160,15,8,No,Web Dev,Cloud,Software Dev,Remote,4.240536086423519,1
200,Student199,Surname199,Male,IT,4EK3,8,6.722301380509334,8.589898856618412,7.38937330503537,6.076464377719056,8.930796202361122,6.340413944479142,9.544344435254065,8.085508085894965,92,217,16,1,No,Web Dev,Database,Software Dev,Ahmedabad,5.167952386828913,4
201,Student200,Surname200,Male,CSE,4EK3,8,8.271780922210517,9.592122195799949,9.59933338274909,7.907373873271268,7.618109542295478,7.542390370053333,9.582759777066466,9.58629863387604,98,97,19,7,No,Web Dev,UI UX,Data Science,Hyderabad,4.560315067801591,1
202,Student201,Surname201,Female,AI,4EK2,8,9.661953190352168,6.973929186305197,6.087293587101958,8.750888169722243,6.273412801239834,6.284139556176008,7.1891488171253055,6.785177209244268,75,100,9,5,Yes,AI,ML,AI,Pune,6.931859564203387,2
203,Student202,Surname202,Male,ICT,4EK2,8,6.135783914343195,9.708138179185227,8.655158744702357,8.890827830792913,9.135039369936429,6.8431724062001145,6.9199750158529625,6.090258046821389,84,92,19,3,Yes,Data Science,UI UX,Cybersecurity,Bangalore,5.52211002280708,1
204,Student203,Surname203,Male,AI,4EK2,8,8.78968106898736,6.241069561158243,9.853577736854202,8.770129726148433,7.143033298370824,6.91746310815069,7.645215888264925,9.446659538796403,57,147,7,7,No,Data Science,DevOps,Software Dev,Remote,8.972255514573266,1
205,Student204,Surname204,Female,ICT,4EK3,8,7.189396029490203,9.737744107222056,8.240672733847369,6.537740517632487,7.731067518397051,7.876428844190315,6.962126340720594,8.308468329551626,85,232,4,9,Yes,Java,UI UX,AI,Ahmedabad,8.712248482561439,4
206,Student205,Surname205,Male,ICT,4EK2,8,9.697584781506121,7.406490748958538,9.747289848132368,7.197582353486725,8.741775532887607,7.074248669814571,8.689535373166814,9.56263382184737,56,265,3,2,No,Python,Database,Web Dev,Ahmedabad,13.818067433415639,5
207,Student206,Surname206,Female,AI,4EK2,8,9.884232980661471,6.405683313796866,6.209031517144095,7.434862101668054,7.329824628594848,6.403912427271044,9.304258738193141,8.38778089365269,95,226,11,8,Yes,Java,UI UX,Data Science,Pune,3.416879369337378,5
208,Student207,Surname207,Female,AI,4EK1,8,9.777065956453736,7.943487036745303,7.675173276296645,9.217748830718019,6.226342624586863,6.669964356376431,8.692368523644868,9.24064435983881,95,173,1,9,Yes,Java,Cloud,AI,Bangalore,6.83855492001316,3
209,Student208,Surname208,Female,AI,4EK2,8,7.8968568666298555,7.027106270882031,7.040631163848205,7.115039489658212,7.495684188051254,6.589102254208363,9.297401788997398,7.718693453420592,85,267,6,3,No,Java,UI UX,AI,Pune,10.159894703965083,3
210,Student209,Surname209,Male,AI,4EK2,8,9.448170603957253,7.139491607847692,8.923283859922918,6.842819855468813,9.777794330777214,9.892307191649193,7.5879686488298965,8.999439725153074,65,129,11,2,No,Java,Database,Cybersecurity,Pune,10.257621142127565,5
